File,Link
aws-properties-sagemaker-inferenceexperiment-modelvariantconfig.md, https://drive.google.com/file/d/10hMDYwp5MKZIUzP1KPo7LCM6FlkCMjJC/view?usp=drive_link
aws-properties-sagemaker-inferenceexperiment-realtimeinferenceconfig.md, https://drive.google.com/file/d/1UB_ZrewBf03bWr3GRkjYIE-DoVH7znc3/view?usp=drive_link
aws-properties-sagemaker-inferenceexperiment-shadowmodeconfig.md, https://drive.google.com/file/d/1QCduBhy7TaTd_wxfR57WqfOZ0W3m5KsB/view?usp=drive_link
aws-properties-sagemaker-inferenceexperiment-shadowmodelvariantconfig.md, https://drive.google.com/file/d/1b_WxNPhAXOmb6q7T6HiYlV6Ozr-nIybs/view?usp=drive_link
aws-properties-sagemaker-modelbiasjobdefinition-batchtransforminput.md, https://drive.google.com/file/d/1-sae9-jvR3FLPNzeZ81VLb4yI_vWNRE1/view?usp=drive_link
aws-properties-sagemaker-modelbiasjobdefinition-clusterconfig.md, https://drive.google.com/file/d/1W_ABDZyKMKFECKNJ7OoaoF4ZnmSMZi_n/view?usp=drive_link
aws-properties-sagemaker-modelbiasjobdefinition-constraintsresource.md, https://drive.google.com/file/d/1gE01s8k-VAn8JPEyV7YK5azDw6LXIb2o/view?usp=drive_link
aws-properties-sagemaker-modelbiasjobdefinition-csv.md, https://drive.google.com/file/d/1vTfpfrXy2tk-xsSVc02AuKgo0JZWeB7S/view?usp=drive_link
aws-properties-sagemaker-modelbiasjobdefinition-datasetformat.md, https://drive.google.com/file/d/1hSkHQGCCLE8G4X_JFyFc_50OBoBGU7BQ/view?usp=drive_link
aws-properties-sagemaker-modelbiasjobdefinition-endpointinput.md, https://drive.google.com/file/d/1p3OSSBtQLPULVjX3aU7nCHt5sA7E5Q2Y/view?usp=drive_link
aws-properties-sagemaker-modelbiasjobdefinition-json.md, https://drive.google.com/file/d/16IPA3Y6yIDBsIIpKAo6iPXwpXE6UVOoz/view?usp=drive_link
aws-properties-sagemaker-modelbiasjobdefinition-modelbiasappspecification.md, https://drive.google.com/file/d/1u-MBhUGdoQ6_sq3ST0OI5c80nVyzhttB/view?usp=drive_link
